Ticker;CompanyName;Sector;StockPrice
CMI;Cummins Inc.;Industrials;165.73
COL;Rockwell Collins;Industrials;133.31
CSX;CSX Corp.;Industrials;50.47
CTAS;Cintas Corporation;Industrials;149.32
DAL;Delta Air Lines Inc.;Industrials;51.23
DE;Deere & Co.;Industrials;153.66
DOV;Dover Corp.;Industrials;96.2
EFX;Equifax Inc.;Industrials;114
EMR;Emerson Electric Company;Industrials;66.4
ETN;Eaton Corporation;Industrials;79.41
EXPD;Expeditors International;Industrials;60.36
FAST;Fastenal Co;Industrials;52.15
FBHS;Fortune Brands Home & Security;Industrials;62.44
FDX;FedEx Corporation;Industrials;239.27
FLR;Fluor Corp.;Industrials;55.31
FLS;Flowserve Corporation;Industrials;40.82
FTV;Fortive Corp;Industrials;69.14
GD;General Dynamics;Industrials;206.05
GE;General Electric;Industrials;14.45
GWW;Grainger (W.W.) Inc.;Industrials;258.6
HII;Huntington Ingalls Industries;Industrials;225.37
HON;Honeywell Int'l Inc.;Industrials;146.02
INFO;IHS Markit Ltd.;Industrials;43.73
IR;Ingersoll-Rand PLC;Industrials;87.6
ITW;Illinois Tool Works;Industrials;156.15
JBHT;J. B. Hunt Transport Services;Industrials;114.81
JCI;Johnson Controls International;Industrials;36.55
JEC;Jacobs Engineering Group;Industrials;62.82
KSU;Kansas City Southern;Industrials;103.53
LLL;L-3 Communications Holdings;Industrials;198.79
LMT;Lockheed Martin Corp.;Industrials;334.3
LUV;Southwest Airlines;Industrials;55.63
MAS;Masco Corp.;Industrials;40.7
MMM;3M Company;Industrials;222.89
NLSN;Nielsen Holdings;Industrials;33.9
NOC;Northrop Grumman Corp.;Industrials;324.01
NSC;Norfolk Southern Corp.;Industrials;136.89
PCAR;PACCAR Inc.;Industrials;66.98
PH;Parker-Hannifin;Industrials;174.51
PNR;Pentair Ltd.;Industrials;66.67
PWR;Quanta Services Inc.;Industrials;33.51
RHI;Robert Half International;Industrials;52.26
ROK;Rockwell Automation Inc.;Industrials;178.73
ROP;Roper Technologies;Industrials;259.4
RSG;Republic Services Inc;Industrials;62.72
RTN;Raytheon Co.;Industrials;198.74
SRCL;Stericycle Inc;Industrials;70.55
TDG;TransDigm Group;Industrials;283
TXT;Textron Inc.;Industrials;55.54
UAL;United Continental Holdings;Industrials;63.37
UNP;Union Pacific;Industrials;124.86
UPS;United Parcel Service;Industrials;109.28
UTX;United Technologies;Industrials;127.48
VRSK;Verisk Analytics;Industrials;92.28
WM;Waste Management Inc.;Industrials;79.12
XYL;Xylem Inc.;Industrials;70.24
AAPL;Apple Inc.;Information Technology;155.15
ACN;Accenture plc;Information Technology;150.51
ADBE;Adobe Systems Inc;Information Technology;185.16
ADP;Automatic Data Processing;Information Technology;108.25
ADS;Alliance Data Systems;Information Technology;240.6
ADSK;Autodesk Inc;Information Technology;104.81
AKAM;Akamai Technologies Inc;Information Technology;62.49
AMAT;Applied Materials Inc;Information Technology;45.75
AMD;Advanced Micro Devices Inc;Information Technology;11.22
ANSS;ANSYS;Information Technology;148.84
APH;Amphenol Corp;Information Technology;84.44
ATVI;Activision Blizzard;Information Technology;65.83
AVGO;Broadcom;Information Technology;229.57
CDNS;Cadence Design Systems;Information Technology;36.82
CRM;Salesforce.com;Information Technology;104.03
CSCO;Cisco Systems;Information Technology;38.77
CSRA;CSRA Inc.;Information Technology;30.85
CTSH;Cognizant Technology Solutions;Information Technology;75.16
CTXS;Citrix Systems;Information Technology;84.53
DXC;DXC Technology;Information Technology;91.92
EA;Electronic Arts;Information Technology;116.54
EBAY;eBay Inc.;Information Technology;41.02
FFIV;F5 Networks;Information Technology;137.25
FIS;Fidelity National Information Services;Information Technology;92.74
FISV;Fiserv Inc;Information Technology;133.05
FLIR;FLIR Systems;Information Technology;46.46
GLW;Corning Inc.;Information Technology;28.45
GOOG;Alphabet Inc Class C;Information Technology;1001.52
GOOGL;Alphabet Inc Class A;Information Technology;1007.71
GPN;Global Payments Inc.;Information Technology;100.59
HPE;Hewlett Packard Enterprise;Information Technology;15.04
HPQ;HP Inc.;Information Technology;19.92
HRS;Harris Corporation;Information Technology;149.84
IBM;International Business Machines;Information Technology;147.59
INTC;Intel Corp.;Information Technology;42.75
INTU;Intuit Inc.;Information Technology;152.75
IT;Gartner Inc;Information Technology;114.26
JNPR;Juniper Networks;Information Technology;24.66
KLAC;KLA-Tencor Corp.;Information Technology;98.54
LRCX;Lam Research;Information Technology;162.23
MA;Mastercard Inc.;Information Technology;160.62
MCHP;Microchip Technology;Information Technology;79.9
MSFT;Microsoft Corp.;Information Technology;85.01
MSI;Motorola Solutions Inc.;Information Technology;98.74
MU;Micron Technology;Information Technology;40
NFLX;Netflix Inc.;Information Technology;250.1
NTAP;NetApp;Information Technology;55.85
NVDA;Nvidia Corporation;Information Technology;217.52
ORCL;Oracle Corp.;Information Technology;46.84
PAYX;Paychex Inc.;Information Technology;61.86
PYPL;PayPal;Information Technology;72.32
QCOM;QUALCOMM Inc.;Information Technology;62.42
QRVO;Qorvo;Information Technology;76.85
RHT;Red Hat Inc.;Information Technology;124.65
SNPS;Synopsys Inc.;Information Technology;82.62
STX;Seagate Technology;Information Technology;47.44
SWKS;Skyworks Solutions;Information Technology;99.04
SYMC;Symantec Corp.;Information Technology;25.59
TEL;TE Connectivity Ltd.;Information Technology;95.27
TSS;Total System Services;Information Technology;81.17
TXN;Texas Instruments;Information Technology;97.66
V;Visa Inc.;Information Technology;113.86
VRSN;Verisign Inc.;Information Technology;105.62
WDC;Western Digital;Information Technology;80.09
WU;Western Union Co;Information Technology;18.81
XLNX;Xilinx Inc;Information Technology;62.82
XRX;Xerox Corp.;Information Technology;29.8
ALB;Albemarle Corp;Materials;105.18
APD;Air Products & Chemicals Inc;Materials;152.8
AVY;Avery Dennison Corp;Materials;110.77
BLL;Ball Corp;Materials;38.44
CF;CF Industries Holdings Inc;Materials;37.46
DWDP;DowDuPont;Materials;68.21
ECL;Ecolab Inc.;Materials;127.76
EMN;Eastman Chemical;Materials;93.57
FCX;Freeport-McMoRan Inc.;Materials;17.16
FMC;FMC Corporation;Materials;80.87
IFF;Intl Flavors & Fragrances;Materials;138
IP;International Paper;Materials;56.05
LYB;LyondellBasell;Materials;105.79
MLM;Martin Marietta Materials;Materials;208.42
MON;Monsanto Co.;Materials;119.08
MOS;The Mosaic Company;Materials;24.13
NEM;Newmont Mining Corporation;Materials;36.61
NUE;Nucor Corp.;Materials;60.38
PKG;Packaging Corporation of America;Materials;111.95
PPG;PPG Industries;Materials;110.3
PX;Praxair Inc.;Materials;144.07
SEE;Sealed Air;Materials;42.62
SHW;Sherwin-Williams;Materials;387.65
VMC;Vulcan Materials;Materials;121.47
WRK;WestRock Company;Materials;60.93
AIV;Apartment Investment & Management;Real Estate;38.21
AMT;American Tower Corp A;Real Estate;133.57
ARE;Alexandria Real Estate Equities Inc;Real Estate;114.58
BXP;Boston Properties;Real Estate;112.09
CBG;CBRE Group;Real Estate;41.92
CCI;Crown Castle International Corp.;Real Estate;103.81
DLR;Digital Realty Trust Inc;Real Estate;98.96
DRE;Duke Realty Corp;Real Estate;24.52
EQIX;Equinix;Real Estate;409.98
EQR;Equity Residential;Real Estate;55.26
EXR;Extra Space Storage;Real Estate;77.56
FRT;Federal Realty Investment Trust;Real Estate;108.11
GGP;General Growth Properties Inc.;Real Estate;21.62
HCN;Welltower Inc.;Real Estate;54.67
HCP;HCP Inc.;Real Estate;22.64
HST;Host Hotels & Resorts;Real Estate;18.75
IRM;Iron Mountain Incorporated;Real Estate;32.07
KIM;Kimco Realty;Real Estate;14.01
MAA;Mid-America Apartments;Real Estate;85.39
MAC;Macerich;Real Estate;58.36
O;Realty Income Corporation;Real Estate;47.56
PLD;Prologis;Real Estate;58.33
PSA;Public Storage;Real Estate;180.49
REG;Regency Centers Corporation;Real Estate;55.58
SBAC;SBA Communications;Real Estate;159.85
SLG;SL Green Realty;Real Estate;90.61
SPG;Simon Property Group Inc;Real Estate;152.18
UDR;UDR Inc;Real Estate;32.92
VNO;Vornado Realty Trust;Real Estate;66.18
VTR;Ventas Inc;Real Estate;50.92
WY;Weyerhaeuser Corp.;Real Estate;33.6
CTL;CenturyLink Inc;Telecommunication Services;16.2
T;AT&T Inc;Telecommunication Services;35.57
VZ;Verizon Communications;Telecommunication Services;49.04
AEE;Ameren Corp;Utilities;52.59
AEP;American Electric Power;Utilities;63.38
AES;AES Corp;Utilities;10.06
AWK;American Water Works Company Inc;Utilities;76.06
CMS;CMS Energy;Utilities;41.77
CNP;CenterPoint Energy;Utilities;25.85
D;Dominion Energy;Utilities;73.31
DTE;DTE Energy Co.;Utilities;98.49
DUK;Duke Energy;Utilities;74.32
ED;Consolidated Edison;Utilities;74.73
EIX;Edison Int'l;Utilities;58.07
ES;Eversource Energy;Utilities;56.11
ETR;Entergy Corp.;Utilities;72.02
EXC;Exelon Corp.;Utilities;35.98
FE;FirstEnergy Corp;Utilities;30.64
LNT;Alliant Energy Corp;Utilities;37.14
NEE;NextEra Energy;Utilities;145.29
NI;NiSource Inc.;Utilities;22.51
NRG;NRG Energy;Utilities;24
PCG;PG&E Corp.;Utilities;38.24
PEG;Public Serv. Enterprise Inc.;Utilities;46.73
PNW;Pinnacle West Capital;Utilities;74.34
PPL;PPL Corp.;Utilities;29.52
SCG;SCANA Corp;Utilities;35.6
SO;Southern Co.;Utilities;43.4
SRE;Sempra Energy;Utilities;103.36
WEC;Wec Energy Group Inc;Utilities;59.5
XEL;Xcel Energy Inc;Utilities;42.44
