Ticker;Name;Price;EarningsPerShare;FiftyTwoWeeksLow;FiftyTwoWeeksHigh;MarketCap;EBITDA
D;Dominion Energy;73.31;4.91;85.3;71.59;47543571860;6428000000
DOV;Dover Corp.;96.2;5.15;109.06;75.51;15566645713;1513291000
DWDP;DowDuPont;68.21;1.59;77.08;64.01;1.65203E+11;5250000000
DPS;Dr Pepper Snapple Group;116.93;4.54;126.65;83.23;21209783858;1507000000
DTE;DTE Energy Co.;98.49;4.82;116.74;96.56;17808073691;2790000000
DUK;Duke Energy;74.32;3.12;91.8;72.93;52078185682;9895000000
DRE;Duke Realty Corp;24.52;0.88;30.14;24.73;9035293365;529483000
DXC;DXC Technology;91.92;-0.89;102.95;67.76;27408621020;1628000000
ETFC;E*Trade;48.48;2.15;56;32.25;13754977266;0
EMN;Eastman Chemical;93.57;10.12;104.08;76.02;14226830813;2152000000
ETN;Eaton Corporation;79.41;6.68;89.85;69.45;35961772000;4253000000
EBAY;eBay Inc.;41.02;-1.07;46.99;31.89;44216696399;2941000000
ECL;Ecolab Inc.;127.76;4.14;140.5;119.61;38460272282;2848600000
EIX;Edison Int'l;58.07;3.96;83.38;58.76;19447670886;4284000000
EW;Edwards Lifesciences;123.78;2.88;138.48;89.2;27447099863;1156700000
EA;Electronic Arts;116.54;3.07;131.01;81.27;37890226992;1560000000
EMR;Emerson Electric Company;66.4;2.35;74.45;56.77;44040298425;2542000000
ETR;Entergy Corp.;72.02;-3.26;87.95;69.63;13116894887;880700000
EVHC;Envision Healthcare;35.34;-0.48;73;23.77;4212729247;827200000
EOG;EOG Resources;101.04;-1.98;119;81.99;61164030149;3692749000
EQT;EQT Corporation;46.25;-2.69;67.84;47.13;12638828950;1518305000
EFX;Equifax Inc.;114;4.04;147.02;90.72;14121334618;1141200000
EQIX;Equinix;409.98;1.77;495.345;361.9;33333813618;1687152000
EQR;Equity Residential;55.26;1.63;70.455;56.07;20925508143;1710686000
ESS;Essex Property Trust, Inc.;218.28;6.27;270.04;214.03;14383525286;1237886000
EL;Estee Lauder Cos.;131.46;3.35;138.74;81.69;49543264457;2478000000
RE;Everest Re Group Ltd.;241.06;23.71;277.17;208.81;10131892523;0
ES;Eversource Energy;56.11;2.96;66.15;55.2;18027633617;2738713000
EXC;Exelon Corp.;35.98;1.23;42.67;33.3;34734816899;8548000000
EXPE;Expedia Inc.;123.03;1.81;161;115.55;19722178609;1481458000
EXPD;Expeditors International;60.36;2.36;67.54;51.96;11040678071;721643000
ESRX;Express Scripts;73.35;5.39;83.485;55.8;42449656350;7309300000
EXR;Extra Space Storage;77.56;2.92;88.56;71.34;10133547517;717468000
XOM;Exxon Mobil Corp.;76.07;1.88;89.3;76.05;3.26149E+11;39052000000
FFIV;F5 Networks;137.25;6.51;149.5;114.63;8744185796;629940000
FB;Facebook, Inc.;171.58;5.39;195.32;132.44;5.23423E+11;23624000000
FAST;Fastenal Co;52.15;2.01;57.815;39.79;15311373377;1009600000
FRT;Federal Realty Investment Trust;108.11;3.5;143.79;109.74;8077368506;540767000
FDX;FedEx Corporation;239.27;11.07;274.66;182.89;67280478816;8062000000
FIS;Fidelity National Information Services;92.74;1.72;103.65;77.63;32308459680;2782000000
FITB;Fifth Third Bancorp;31.1;2.85;33.91;23.2;22437653700;0
FE;FirstEnergy Corp;30.64;-14.49;35.22;27.93;13706075072;-5067000000
FISV;Fiserv Inc;133.05;4.14;144.2;106.2;26918949723;1911000000
FLIR;FLIR Systems;46.46;1.21;52.88;33.75;6706992926;375267000
FLS;Flowserve Corporation;40.82;1.12;51.92;37.51;5427884956;463066000
FLR;Fluor Corp.;55.31;1.99;62.09;37.0351;7978485059;709756000
FMC;FMC Corporation;80.87;1.56;98.7;56.53;11273961835;557800000
FL;Foot Locker Inc;45.88;4.91;77.86;28.42;5819080328;957000000
F;Ford Motor;10.43;1.9;13.48;10.19;42414328338;9281000000
FTV;Fortive Corp;69.14;2.46;76.68;54.8844;24916503061;1508300000
FBHS;Fortune Brands Home & Security;62.44;3.04;73.62;55.25;9624169008;814500000
BEN;Franklin Resources;38;3;47.65;37.01;21759187973;2711300000
FCX;Freeport-McMoRan Inc.;17.16;1.24;20.25;11.05;25853969330;5347000000
GPS;Gap Inc.;31.17;1.69;35.68;21.02;12684517721;1959000000
GRMN;Garmin Ltd.;61.13;2.69;64.96;48.5;11840331607;736798000
IT;Gartner Inc;114.26;2.31;142.16;97.96;10828314389;234935000
GD;General Dynamics;206.05;9.55;229.54;181.94;64180390701;4618000000
GE;General Electric;14.45;-0.72;30.59;14.71;1.32249E+11;-206000000
GGP;General Growth Properties Inc.;21.62;1.34;25.72;18.83;21018887283;1740540000
GIS;General Mills;53.99;2.77;63.73;49.65;31098243069;3107600000
GM;General Motors;40.75;6;46.76;31.92;61536606173;23541000000
GPC;Genuine Parts;96.31;4.6;107.75;79.86;14554321748;1201517000
GILD;Gilead Sciences;78.22;9.95;89.54;63.759;1.08107E+11;17590000000
GPN;Global Payments Inc.;100.59;1.58;113.26;76.47;16920023264;960345000
GS;Goldman Sachs Group;246.35;8.61;273.79;209.62;96978500251;0
GT;Goodyear Tire & Rubber;30.75;4.74;37.2;28.81;8244568238;2044000000
GWW;Grainger (W.W.) Inc.;258.6;10.02;298.145;155;14639308205;1279846000
HAL;Halliburton Co.;47.41;-0.53;57.86;38.181;43356557470;2910000000
HBI;Hanesbrands Inc;19.57;1.41;25.73;18.9;8006268615;926153000
HOG;Harley-Davidson;47.54;2.98;63.4;44.52;8158949890;1058817000
HRS;Harris Corporation;149.84;4.43;160.67;104.16;18140726600;1368000000
HIG;Hartford Financial Svc.Gp.;53.34;2.27;59.2;46.35;19926305632;0
HAS;Hasbro Inc.;96.48;4.34;116.2;87.92;12732072001;1028425000
HCA;HCA Holdings;95.97;5.94;106.84;71.18;34449052800;8202000000
HCP;HCP Inc.;22.64;1.33;33.67;22.8;10967755538;1412684000
HP;Helmerich & Payne;64.87;-1.2;75.02;42.16;7345243806;483673000
HSIC;Henry Schein;70.85;3.1;93.495;65.28;11452961984;1033985000
HES;Hess Corporation;43;-19.94;55.48;37.25;14016129999;-819000000
HPE;Hewlett Packard Enterprise;15.04;0.21;24.88;12.815;24800859640;3683000000
HLT;Hilton Worldwide Holdings Inc;78.66;1.05;88.11;55.79;26242415796;2815000000
HOLX;Hologic;38.8;2.64;46.8;35.76;11181493750;1561000000
HD;Home Depot;181.22;6.46;207.605;136.82;2.23379E+11;16513000000
HON;Honeywell Int'l Inc.;146.02;2.08;165.13;119.31;1.14422E+11;8333000000
HRL;Hormel Foods Corp.;32.21;1.57;38;29.75;17338613096;1422305000
HST;Host Hotels & Resorts;18.75;1.02;21.53;17.26;14394715334;1547000000
HPQ;HP Inc.;19.92;1.49;24.1;15.39;34895294088;3700000000
HUM;Humana Inc.;262.37;4.06;293.35;189.01;36973617235;0
HBAN;Huntington Bancshares;15.1;1;16.53;12.14;16766497291;0
HII;Huntington Ingalls Industries;225.37;12.15;253.44;183.42;10628247899;1107000000
IDXX;IDEXX Laboratories;169.28;2.94;198.73;140.63;15422885020;478307000
INFO;IHS Markit Ltd.;43.73;1;49.19;37.82;17969275816;1018900000
ITW;Illinois Tool Works;156.15;4.86;179.07;126.52;55994378108;3924000000
ILMN;Illumina Inc;209.54;4.92;248.97;158.0203;32295200000;1192000000
INCY;Incyte;83.92;0.54;153.15;84.21;18220961259;-81686000
IR;Ingersoll-Rand PLC;87.6;5.07;97.67;77.26;22785450609;1987100000
INTC;Intel Corp.;42.75;1.98;50.85;33.23;2.11536E+11;26247000000
ICE;Intercontinental Exchange;67;2.37;76.1378;56.8;41373051167;3103000000
IBM;International Business Machines;147.59;6.11;182.79;139.13;1.42433E+11;16557000000
IP;International Paper;56.05;5.14;66.94;49.6;24465996443;3004000000
IPG;Interpublic Group;21.34;1.49;25.71;18.3;8277363031;1074900000
IFF;Intl Flavors & Fragrances;138;5.05;157.4;116.3;11270040447;699963000
INTU;Intuit Inc.;152.75;3.72;170.59;111.9;41233771565;1654000000
ISRG;Intuitive Surgical Inc.;381.87;5.67;452;233.10643;44866621303;1153700000
IVZ;Invesco Ltd.;31.92;2.74;38.43;29.36;13620847614;1606200000
IQV;IQVIA Holdings Inc.;95.23;0.76;110.67;75.94;20426488713;1542000000
IRM;Iron Mountain Incorporated;32.07;0.46;41.53;32.05;9410249279;1116140000
JBHT;J. B. Hunt Transport Services;114.81;6.19;126.49;83.35;12945366350;1007309000
JEC;Jacobs Engineering Group;62.82;2.43;72.18;49.31;9326484316;409832000
SJM;JM Smucker;118.37;5.1;143.68;99.565;13612394896;1411300000
JNJ;Johnson & Johnson;126.36;0.39;148.32;113.15;3.53062E+11;22430000000
JCI;Johnson Controls International;36.55;1.71;44.37;34.51;34822224800;4295000000
JPM;JPMorgan Chase & Co.;107.88;6.3;117.3529;81.635;3.86614E+11;0
JNPR;Juniper Networks;24.66;0.78;30.96;23.87;9267350000;1115500000
KSU;Kansas City Southern;103.53;9.16;114.85;81.54;11037040988;1295400000
K;Kellogg Co.;65.98;1.95;76.69;58.76;22182794875;1827000000
KEY;KeyCorp;20.08;1.12;22.22;16.28;22589744920;0
KMB;Kimberly-Clark;111.69;6.41;136.21;109.67;39449596000;4033000000
KIM;Kimco Realty;14.01;0.8;25.15;14.33;6180487499;701190000
KMI;Kinder Morgan;16.8;0.01;22.75;16.56;38612712234;5981000000
KLAC;KLA-Tencor Corp.;98.54;5.88;121.65;86.33;16078622033;1506642000
KSS;Kohl's Corp.;60.34;3.12;69.14;35.16;10570861198;2286000000
KHC;Kraft Heinz Co;71.58;2.81;97.77;72.05;89618309338;7832000000
KR;Kroger Co.;27.57;2.05;34.75;19.69;25471355847;5342000000
LB;L Brands Inc.;47.77;3.98;63.1;35;13862042842;2329000000
LLL;L-3 Communications Holdings;198.79;8.51;218.705;159.43;16229343134;1137000000
LH;Laboratory Corp. of America Holding;165.46;7.02;181.715;130.292;17271388000;1861200000
LRCX;Lam Research;162.23;9.22;219.7;113.1982;27967534829;2967218000
LEG;Leggett & Platt;43.99;2.76;54.97;42;6034600480;447000000
LEN;Lennar Corp.;59.11;3.38;72.17;43.647053;14615967194;1405319000
LUK;Leucadia National Corp.;23.86;0.33;28.3;22.23;8910389431;2201336000
LLY;Lilly (Eli) & Co.;74.21;-0.2;89.09;75.71;84475986228;3459800000
